Customer_ID,Plan_Type,Age,Gender,State,Region
143,Individual and Family,41,Female,Florida,South
144,Individual and Family,33,Female,Florida,South
145,Individual and Family,52,Male,Nevada,West
146,Individual and Family,25,Male,Arizona,West
147,Individual and Family,34,Male,Delaware,East
148,Individual and Family,44,Female,Utah,West
149,Individual and Family,56,Female,Florida,South
150,Individual and Family,39,Female,Utah,West
151,Medicare,65,Male,Arizona,West
152,Individual and Family,59,Male,Georgia,South
153,Individual and Family,26,Female,North Carolina,South
154,Individual and Family,25,Female,Nevada,West
155,Medicare,69,Female,Georgia,South
156,Individual and Family,35,Female,Florida,South
157,Individual and Family,30,Female,Florida,South
158,Medicare,79,Male,Florida,South
159,Individual and Family,42,Male,Florida,South
160,Medicare,73,Female,Utah,West
161,Individual and Family,27,Female,Maryland,East
162,Individual and Family,49,Other,California,West
163,Individual and Family,47,Female,Florida,South
164,Individual and Family,39,Female,New Jersey,East
165,Individual and Family,58,Female,Indiana,North
166,Medicare,65,Female,Texas,South
167,Individual and Family,25,Female,Indiana,North
168,Individual and Family,33,Male,Virginia,East
169,Individual and Family,40,Female,Utah,West
170,Individual and Family,42,Female,Maryland,East
171,Individual and Family,38,Male,Ohio,North
172,Individual and Family,44,Female,Virginia,East
173,Individual and Family,27,Male,Georgia,South
174,Individual and Family,54,Male,California,West
175,Individual and Family,39,Female,Utah,West
176,Individual and Family,51,Male,Ohio,North
177,Individual and Family,43,Female,Ohio,North
178,Individual and Family,45,Other,Arizona,West
179,Medicare,80,Female,Delaware,East
180,Individual and Family,44,Other,Indiana,North
181,Individual and Family,46,Male,Texas,South
182,Individual and Family,53,Female,California,West
183,Medicare,74,Female,Maryland,East
184,Medicare,74,Other,Georgia,South
185,Individual and Family,39,Male,Utah,West
186,Individual and Family,54,Female,Florida,South
187,Medicare,69,Male,New Jersey,East
188,Individual and Family,58,Female,Indiana,North
189,Individual and Family,40,Female,Ohio,North
190,Individual and Family,26,Female,New Jersey,East
191,Individual and Family,41,Female,Delaware,East
192,Medicare,70,Male,Georgia,South
193,Medicare,65,Female,Virginia,East
194,Individual and Family,33,Male,Missouri,South
195,Individual and Family,36,Female,Missouri,South
196,Individual and Family,25,Female,North Carolina,South
197,Medicare,68,Female,Virginia,East
198,Medicare,70,Female,Georgia,South
199,Medicare,65,Female,Nevada,West
200,Medicare,65,Female,Missouri,South
201,Individual and Family,48,Male,Maryland,East
202,Individual and Family,44,Female,Virginia,East
203,Individual and Family,30,Female,Arizona,West
204,Medicare,78,Female,Florida,South
205,Individual and Family,40,Male,Florida,South
206,Individual and Family,28,Male,Maryland,East
207,Individual and Family,55,Female,Ohio,North
208,Individual and Family,49,Female,Texas,South
209,Individual and Family,38,Female,Illinois,North
210,Individual and Family,40,Other,Missouri,South
211,Individual and Family,42,Female,Texas,South
212,Individual and Family,25,Female,Florida,South
213,Individual and Family,38,Female,Virginia,East
214,Individual and Family,33,Female,New Jersey,East
215,Medicare,80,Female,Indiana,North
216,Individual and Family,37,Male,Utah,West
217,Individual and Family,58,Female,North Carolina,South
218,Medicare,66,Male,Ohio,North
219,Individual and Family,34,Female,Delaware,East
220,Medicare,65,Female,Missouri,South
221,Individual and Family,54,Male,Illinois,North
222,Individual and Family,49,Female,Nevada,West
223,Individual and Family,41,Male,Missouri,South
224,Individual and Family,34,Female,Utah,West
225,Individual and Family,47,Female,Illinois,North
226,Individual and Family,44,Other,Nevada,West
227,Medicare,67,Female,Florida,South
228,Individual and Family,46,Male,Ohio,North
229,Medicare,72,Female,Arizona,West
230,Individual and Family,35,Male,Georgia,South
231,Medicare,68,Female,Kansas,North
232,Individual and Family,42,Female,New Jersey,East
233,Individual and Family,61,Male,California,West
234,Individual and Family,33,Male,New Jersey,East
235,Individual and Family,57,Male,Georgia,South
236,Medicare,80,Male,Georgia,South
237,Individual and Family,33,Male,Nevada,West
238,Individual and Family,35,Female,Maryland,East
239,Individual and Family,37,Female,Missouri,South
240,Individual and Family,44,Female,Arizona,West
241,Medicare,80,Female,Delaware,East
242,Medicare,65,Female,New Jersey,East
243,Medicare,77,Female,Delaware,East
244,Individual and Family,61,Female,Maryland,East
245,Individual and Family,57,Male,California,West
246,Medicare,68,Female,Delaware,East
247,Individual and Family,40,Female,Ohio,North
248,Medicare,66,Female,Florida,South
249,Medicare,74,Male,Nevada,West
250,Medicare,80,Male,Indiana,North
251,Individual and Family,37,Male,New Jersey,East
252,Individual and Family,25,Female,Delaware,East
253,Medicare,65,Female,Maryland,East
254,Individual and Family,46,Female,California,West
255,Individual and Family,35,Female,Maryland,East
256,Individual and Family,56,Female,New Jersey,East
257,Medicare,68,Female,New Jersey,East
258,Individual and Family,25,Female,Texas,South
259,Individual and Family,42,Other,California,West
260,Individual and Family,50,Other,Nevada,West
261,Individual and Family,57,Female,Ohio,North
262,Medicare,65,Female,Georgia,South
263,Individual and Family,51,Female,Missouri,South
264,Individual and Family,40,Female,New Jersey,East
265,Medicare,71,Male,Missouri,South
266,Medicare,66,Female,North Carolina,South
267,Individual and Family,47,Male,California,West
268,Medicare,69,Female,Georgia,South
269,Individual and Family,55,Other,Indiana,North
270,Individual and Family,54,Female,Illinois,North
271,Medicare,74,Male,Delaware,East
272,Medicare,65,Female,Nevada,West
273,Medicare,65,Male,Delaware,East
274,Medicare,65,Female,Illinois,North
275,Individual and Family,34,Female,North Carolina,South
276,Individual and Family,33,Male,Virginia,East
277,Medicare,65,Male,Missouri,South
278,Individual and Family,52,Male,New Jersey,East
279,Medicare,69,Male,Virginia,East
280,Medicare,65,Male,Florida,South
281,Medicare,71,Female,California,West
282,Individual and Family,25,Female,North Carolina,South
283,Individual and Family,51,Female,Indiana,North
284,Individual and Family,25,Male,California,West
285,Individual and Family,36,Female,Florida,South
286,Individual and Family,29,Female,Kansas,North
287,Individual and Family,27,Male,Ohio,North
288,Individual and Family,52,Male,New Jersey,East
289,Individual and Family,35,Female,North Carolina,South
290,Individual and Family,43,Female,Kansas,North
291,Individual and Family,40,Female,California,West
292,Individual and Family,45,Female,Texas,South
293,Medicare,65,Female,Maryland,East
294,Individual and Family,27,Male,Kansas,North
295,Individual and Family,50,Male,Georgia,South
296,Individual and Family,35,Male,North Carolina,South
297,Medicare,68,Female,Texas,South
298,Individual and Family,36,Male,Kansas,North
299,Individual and Family,55,Female,Kansas,North
300,Individual and Family,49,Female,Missouri,South
301,Individual and Family,37,Male,Indiana,North
302,Individual and Family,37,Female,Maryland,East
303,Individual and Family,37,Female,Arizona,West
304,Individual and Family,61,Male,Georgia,South
305,Medicare,74,Female,Arizona,West
306,Medicare,71,Male,Texas,South
307,Individual and Family,50,Female,Utah,West
308,Individual and Family,42,Male,Indiana,North
309,Medicare,66,Female,New Jersey,East
310,Individual and Family,38,Female,Kansas,North
311,Individual and Family,39,Male,Georgia,South
312,Individual and Family,40,Female,Missouri,South
313,Individual and Family,47,Female,Georgia,South
314,Medicare,70,Female,Virginia,East
315,Medicare,66,Female,Georgia,South
316,Individual and Family,39,Female,Texas,South
317,Individual and Family,41,Female,Nevada,West
318,Individual and Family,25,Male,Arizona,West
319,Individual and Family,49,Female,North Carolina,South
320,Individual and Family,43,Female,Arizona,West
321,Individual and Family,50,Female,North Carolina,South
322,Medicare,65,Female,Utah,West
323,Individual and Family,61,Male,Nevada,West
324,Individual and Family,39,Female,Indiana,North
325,Medicare,78,Other,Arizona,West
326,Medicare,80,Female,Utah,West
327,Individual and Family,46,Male,Arizona,West
328,Individual and Family,29,Female,Virginia,East
329,Individual and Family,34,Male,Illinois,North
330,Individual and Family,59,Male,California,West
331,Individual and Family,38,Female,Virginia,East
332,Medicare,65,Female,Illinois,North
333,Individual and Family,49,Female,Ohio,North
334,Individual and Family,45,Male,Illinois,North
335,Individual and Family,42,Female,Missouri,South
336,Individual and Family,44,Female,Maryland,East
337,Medicare,70,Male,Kansas,North
338,Medicare,69,Female,Missouri,South
339,Individual and Family,42,Other,Virginia,East
340,Individual and Family,51,Male,Illinois,North
341,Individual and Family,51,Male,Ohio,North
342,Individual and Family,52,Male,Illinois,North
343,Individual and Family,46,Female,Indiana,North
344,Individual and Family,29,Female,New Jersey,East
345,Individual and Family,56,Female,Delaware,East
346,Individual and Family,29,Female,Ohio,North
347,Individual and Family,43,Male,Utah,West
348,Individual and Family,32,Male,Indiana,North
349,Individual and Family,39,Female,Kansas,North
350,Individual and Family,43,Female,Nevada,West
351,Individual and Family,43,Other,Maryland,East
352,Medicare,72,Female,Missouri,South
353,Individual and Family,56,Female,Maryland,East
354,Individual and Family,45,Female,Texas,South
355,Individual and Family,38,Male,California,West
356,Individual and Family,50,Male,Nevada,West
357,Individual and Family,52,Male,California,West
358,Individual and Family,28,Male,California,West
359,Medicare,80,Female,Delaware,East
360,Individual and Family,47,Female,Illinois,North
361,Individual and Family,37,Male,Delaware,East
362,Individual and Family,54,Female,Missouri,South
363,Individual and Family,38,Male,Illinois,North
364,Individual and Family,41,Male,Utah,West
365,Medicare,68,Male,Virginia,East
366,Individual and Family,40,Male,Delaware,East
367,Medicare,65,Male,Indiana,North
368,Medicare,70,Male,Maryland,East
369,Individual and Family,56,Female,New Jersey,East
370,Individual and Family,32,Female,Georgia,South
371,Individual and Family,30,Female,Delaware,East
372,Individual and Family,25,Male,North Carolina,South
373,Individual and Family,34,Female,Florida,South
374,Individual and Family,27,Male,Georgia,South
375,Individual and Family,56,Female,Arizona,West
376,Individual and Family,50,Male,New Jersey,East
377,Medicare,70,Female,Nevada,West
378,Individual and Family,63,Male,Maryland,East
379,Medicare,65,Female,California,West
380,Individual and Family,37,Female,Georgia,South
381,Individual and Family,25,Female,Nevada,West
382,Individual and Family,63,Male,Utah,West
383,Individual and Family,26,Female,Utah,West
384,Medicare,75,Female,Delaware,East
385,Medicare,68,Other,Florida,South
386,Medicare,65,Male,North Carolina,South
387,Individual and Family,54,Other,Ohio,North
388,Individual and Family,46,Female,Delaware,East
389,Medicare,67,Female,Utah,West
390,Medicare,67,Male,Texas,South
391,Medicare,75,Female,Missouri,South
392,Individual and Family,43,Male,Maryland,East
393,Individual and Family,41,Female,North Carolina,South
394,Medicare,65,Female,Utah,West
395,Individual and Family,32,Female,Missouri,South
396,Medicare,79,Female,Virginia,East
397,Medicare,72,Female,California,West
398,Individual and Family,39,Female,California,West
399,Medicare,68,Other,Illinois,North
400,Medicare,71,Female,Kansas,North
401,Individual and Family,42,Male,Delaware,East
402,Medicare,65,Male,Ohio,North
403,Individual and Family,49,Male,Utah,West
404,Medicare,66,Female,Arizona,West
405,Individual and Family,30,Male,Delaware,East
406,Medicare,73,Male,Maryland,East
407,Individual and Family,30,Male,Illinois,North
408,Individual and Family,38,Male,Arizona,West
409,Medicare,66,Other,Missouri,South
410,Individual and Family,30,Male,Illinois,North
411,Individual and Family,41,Female,New Jersey,East
412,Medicare,76,Male,Florida,South
413,Medicare,65,Female,Nevada,West
414,Individual and Family,43,Male,Virginia,East
415,Individual and Family,25,Female,Kansas,North
416,Individual and Family,44,Female,Delaware,East
417,Individual and Family,40,Male,New Jersey,East
418,Individual and Family,46,Male,Indiana,North
419,Individual and Family,42,Female,New Jersey,East
420,Medicare,80,Female,California,West
421,Medicare,80,Male,Ohio,North
422,Medicare,71,Female,Georgia,South
423,Individual and Family,41,Male,Maryland,East
424,Individual and Family,45,Female,North Carolina,South
425,Individual and Family,40,Male,Georgia,South
426,Individual and Family,40,Male,Delaware,East
427,Individual and Family,33,Female,Virginia,East
428,Medicare,75,Female,California,West
429,Individual and Family,26,Female,Arizona,West
430,Individual and Family,57,Male,Indiana,North
431,Individual and Family,28,Female,Ohio,North
432,Medicare,80,Male,Georgia,South
433,Individual and Family,33,Female,North Carolina,South
434,Individual and Family,49,Female,California,West
435,Individual and Family,37,Female,Kansas,North
436,Medicare,68,Female,Maryland,East
437,Individual and Family,33,Male,Delaware,East
438,Medicare,65,Male,California,West
439,Medicare,67,Male,Indiana,North
440,Individual and Family,61,Female,Georgia,South
441,Individual and Family,28,Other,Georgia,South
442,Medicare,68,Male,Nevada,West
443,Individual and Family,46,Male,Illinois,North
444,Individual and Family,44,Female,California,West
445,Medicare,65,Female,Illinois,North
446,Medicare,65,Female,Maryland,East
447,Medicare,70,Male,Delaware,East
448,Medicare,65,Female,Arizona,West
449,Individual and Family,50,Female,Arizona,West
450,Individual and Family,62,Female,Georgia,South
451,Medicare,67,Male,Nevada,West
452,Individual and Family,26,Male,New Jersey,East
453,Individual and Family,39,Female,Utah,West
454,Medicare,73,Female,Delaware,East
455,Individual and Family,32,Male,New Jersey,East
456,Individual and Family,56,Other,Georgia,South
457,Individual and Family,57,Male,California,West
458,Individual and Family,34,Male,Indiana,North
459,Individual and Family,46,Male,Nevada,West
460,Individual and Family,56,Male,Texas,South
461,Individual and Family,36,Female,Delaware,East
462,Individual and Family,38,Male,Georgia,South
463,Medicare,74,Male,Kansas,North
464,Individual and Family,30,Male,Arizona,West
465,Medicare,72,Female,Kansas,North
466,Individual and Family,28,Female,Utah,West
467,Individual and Family,40,Female,New Jersey,East
468,Medicare,65,Female,Nevada,West
469,Individual and Family,42,Female,Nevada,West
470,Medicare,65,Male,Missouri,South
471,Individual and Family,43,Female,Indiana,North
472,Medicare,66,Female,Ohio,North
473,Individual and Family,25,Female,Utah,West
474,Medicare,65,Male,Texas,South
475,Individual and Family,52,Female,New Jersey,East
476,Medicare,65,Female,Maryland,East
477,Individual and Family,57,Male,Kansas,North
478,Individual and Family,44,Female,Nevada,West
479,Medicare,72,Male,Texas,South
480,Individual and Family,39,Male,Florida,South
481,Individual and Family,46,Female,Virginia,East
482,Individual and Family,41,Female,Georgia,South
483,Individual and Family,45,Male,Utah,West
484,Individual and Family,31,Female,Maryland,East
485,Individual and Family,42,Female,Missouri,South
486,Medicare,65,Female,Virginia,East
487,Individual and Family,39,Male,Indiana,North
488,Individual and Family,31,Female,Florida,South
489,Medicare,65,Male,Georgia,South
490,Medicare,74,Male,Utah,West
491,Individual and Family,51,Female,Delaware,East
492,Individual and Family,46,Female,Ohio,North
493,Individual and Family,29,Other,Texas,South
494,Individual and Family,37,Female,Virginia,East
495,Individual and Family,52,Male,Arizona,West
496,Individual and Family,41,Female,Virginia,East
497,Individual and Family,63,Female,North Carolina,South
498,Individual and Family,44,Female,Virginia,East
499,Medicare,80,Female,Ohio,North
500,Medicare,73,Female,Indiana,North
501,Individual and Family,41,Male,Nevada,West
502,Individual and Family,38,Female,Ohio,North
503,Individual and Family,47,Female,Arizona,West
504,Medicare,70,Female,Indiana,North
505,Individual and Family,32,Male,Kansas,North
506,Individual and Family,27,Female,Maryland,East
507,Medicare,80,Male,Arizona,West
508,Medicare,72,Female,Virginia,East
509,Medicare,65,Female,Illinois,North
510,Medicare,71,Female,Delaware,East
511,Individual and Family,44,Male,Georgia,South
512,Individual and Family,64,Female,California,West
513,Medicare,80,Female,Florida,South
514,Medicare,65,Female,Missouri,South
515,Individual and Family,41,Male,Missouri,South
516,Individual and Family,39,Female,North Carolina,South
517,Individual and Family,49,Female,Utah,West
518,Medicare,66,Female,Virginia,East
519,Medicare,73,Female,Utah,West
520,Individual and Family,43,Male,Indiana,North
521,Individual and Family,33,Male,Utah,West
522,Individual and Family,50,Female,Delaware,East
523,Medicare,80,Female,Utah,West
524,Medicare,75,Female,Kansas,North
525,Medicare,69,Female,New Jersey,East
526,Individual and Family,31,Female,Delaware,East
527,Individual and Family,40,Male,Virginia,East
528,Individual and Family,40,Other,North Carolina,South
529,Individual and Family,51,Other,Florida,South
530,Medicare,80,Male,Utah,West
531,Medicare,68,Male,Virginia,East
532,Medicare,66,Male,Maryland,East
533,Medicare,65,Female,Illinois,North
534,Individual and Family,46,Male,California,West
535,Medicare,73,Female,Maryland,East
536,Medicare,65,Female,Illinois,North
537,Medicare,70,Male,Delaware,East
538,Individual and Family,37,Female,Illinois,North
539,Individual and Family,34,Female,Indiana,North
540,Individual and Family,38,Male,Arizona,West
541,Medicare,67,Female,Arizona,West
542,Individual and Family,45,Female,Georgia,South
543,Individual and Family,39,Male,Illinois,North
544,Individual and Family,45,Male,Nevada,West
545,Individual and Family,41,Female,California,West
546,Individual and Family,25,Female,Texas,South
547,Individual and Family,31,Female,Texas,South
548,Individual and Family,39,Male,Nevada,West
549,Individual and Family,28,Male,Ohio,North
550,Medicare,65,Female,Indiana,North
551,Individual and Family,55,Female,Ohio,North
552,Medicare,65,Female,Missouri,South
553,Individual and Family,38,Other,Virginia,East
554,Individual and Family,55,Female,Ohio,North
555,Medicare,68,Male,Kansas,North
556,Individual and Family,37,Female,Florida,South
557,Individual and Family,34,Male,Utah,West
558,Individual and Family,37,Male,Nevada,West
559,Medicare,71,Male,Ohio,North
560,Individual and Family,42,Female,Georgia,South
561,Medicare,68,Male,Maryland,East
562,Individual and Family,40,Male,Delaware,East
563,Individual and Family,44,Female,Kansas,North
564,Individual and Family,52,Male,Missouri,South
565,Individual and Family,49,Male,Delaware,East
566,Individual and Family,25,Male,North Carolina,South
567,Individual and Family,25,Male,North Carolina,South
568,Individual and Family,49,Female,Virginia,East
569,Medicare,75,Female,Utah,West
570,Individual and Family,38,Female,Indiana,North
571,Individual and Family,28,Male,Florida,South
572,Medicare,76,Male,New Jersey,East
573,Individual and Family,45,Male,Texas,South
574,Individual and Family,48,Female,North Carolina,South
575,Medicare,67,Female,Georgia,South
576,Medicare,80,Male,Georgia,South
577,Individual and Family,35,Female,Texas,South
578,Medicare,70,Female,North Carolina,South
579,Individual and Family,25,Male,New Jersey,East
580,Individual and Family,42,Female,California,West
581,Individual and Family,40,Female,Texas,South
582,Medicare,65,Female,Florida,South
583,Individual and Family,41,Female,Illinois,North
584,Individual and Family,30,Other,North Carolina,South
585,Individual and Family,52,Female,California,West
586,Individual and Family,38,Female,Kansas,North
587,Individual and Family,40,Female,North Carolina,South
588,Individual and Family,31,Male,Georgia,South
589,Individual and Family,36,Female,Ohio,North
590,Individual and Family,31,Male,Missouri,South
591,Individual and Family,38,Female,Delaware,East
592,Individual and Family,57,Female,Maryland,East
593,Individual and Family,26,Female,Delaware,East
594,Individual and Family,25,Male,North Carolina,South
595,Medicare,65,Male,New Jersey,East
596,Individual and Family,38,Female,New Jersey,East
597,Individual and Family,33,Female,Delaware,East
598,Individual and Family,50,Male,Indiana,North
599,Individual and Family,34,Female,Ohio,North
600,Individual and Family,58,Male,North Carolina,South
601,Individual and Family,47,Female,Indiana,North
602,Individual and Family,35,Male,Missouri,South
603,Individual and Family,62,Male,North Carolina,South
604,Individual and Family,34,Male,Texas,South
605,Individual and Family,47,Male,Utah,West
606,Individual and Family,43,Female,New Jersey,East
607,Individual and Family,53,Male,Nevada,West
608,Individual and Family,56,Female,Georgia,South
609,Individual and Family,40,Female,Florida,South
610,Individual and Family,32,Male,Ohio,North
611,Individual and Family,45,Male,Kansas,North
612,Medicare,65,Male,Maryland,East
613,Individual and Family,60,Female,Delaware,East
614,Individual and Family,41,Male,Georgia,South
615,Medicare,74,Male,Arizona,West
616,Medicare,80,Female,Kansas,North
617,Individual and Family,27,Female,Virginia,East
618,Individual and Family,30,Female,Virginia,East
619,Medicare,67,Female,North Carolina,South
620,Medicare,68,Other,California,West
621,Individual and Family,30,Male,Illinois,North
622,Individual and Family,45,Male,Ohio,North
623,Individual and Family,52,Other,Delaware,East
624,Individual and Family,47,Female,New Jersey,East
625,Individual and Family,50,Male,Florida,South
626,Individual and Family,32,Female,New Jersey,East
627,Individual and Family,26,Male,Nevada,West
628,Medicare,80,Female,California,West
629,Individual and Family,37,Male,California,West
630,Individual and Family,37,Female,Texas,South
631,Medicare,77,Female,Virginia,East
632,Medicare,66,Male,Indiana,North
633,Individual and Family,45,Female,Ohio,North
634,Individual and Family,62,Male,New Jersey,East
635,Individual and Family,34,Female,Virginia,East
636,Individual and Family,49,Male,Ohio,North
637,Individual and Family,41,Female,Illinois,North
638,Individual and Family,43,Female,Illinois,North
639,Individual and Family,55,Female,Georgia,South
640,Individual and Family,45,Female,Illinois,North
641,Individual and Family,45,Female,California,West
642,Individual and Family,51,Female,Kansas,North
643,Individual and Family,36,Female,Texas,South
644,Individual and Family,32,Female,Texas,South
645,Individual and Family,30,Male,North Carolina,South
646,Medicare,71,Male,Arizona,West
647,Individual and Family,61,Female,New Jersey,East
648,Individual and Family,29,Male,New Jersey,East
649,Medicare,68,Male,North Carolina,South
650,Individual and Family,37,Female,Kansas,North
651,Individual and Family,43,Male,Indiana,North
652,Individual and Family,48,Female,California,West
653,Individual and Family,49,Female,North Carolina,South
654,Medicare,74,Female,Missouri,South
655,Individual and Family,38,Male,Delaware,East
656,Individual and Family,43,Male,Missouri,South
657,Individual and Family,38,Female,Ohio,North
658,Individual and Family,56,Female,Kansas,North
659,Individual and Family,45,Other,Missouri,South
660,Individual and Family,47,Female,Nevada,West
661,Individual and Family,47,Female,Kansas,North
662,Medicare,71,Male,Florida,South
663,Individual and Family,42,Male,Florida,South
664,Individual and Family,27,Male,Georgia,South
665,Individual and Family,44,Male,Arizona,West
666,Individual and Family,33,Male,Virginia,East
667,Individual and Family,35,Female,California,West
668,Individual and Family,46,Female,Kansas,North
669,Individual and Family,52,Female,Indiana,North
670,Individual and Family,40,Other,Texas,South
671,Individual and Family,43,Male,Georgia,South
672,Medicare,65,Female,California,West
673,Individual and Family,42,Male,Indiana,North
674,Individual and Family,64,Female,Kansas,North
675,Individual and Family,46,Female,Indiana,North
676,Medicare,79,Female,Indiana,North
677,Individual and Family,48,Female,Ohio,North
678,Individual and Family,44,Male,Illinois,North
679,Medicare,70,Female,Florida,South
680,Medicare,72,Male,Missouri,South
681,Medicare,65,Male,New Jersey,East
682,Individual and Family,28,Female,Utah,West
683,Individual and Family,38,Other,Indiana,North
684,Individual and Family,31,Female,Illinois,North
685,Medicare,65,Female,Georgia,South
686,Individual and Family,46,Female,Delaware,East
687,Individual and Family,57,Male,New Jersey,East
688,Individual and Family,44,Female,Texas,South
689,Medicare,78,Female,Missouri,South
690,Individual and Family,44,Female,Utah,West
691,Individual and Family,52,Female,North Carolina,South
